,mag
6,1.17
9,1.6
12,0.9
13,0.1
17,1.78
18,1.18
20,1.2
22,0.94
23,0.5
27,0.96
28,1.02
33,0.4
42,0.7
43,0.4
44,0.59
47,1.67
49,0.6
50,1.04
51,0.8
52,0.8
53,0.1
54,0.7
57,0.64
59,0.5
63,1.5
65,1.3
68,0.5
71,0.86
72,1.57
76,1.1
84,0.84
88,0.5
89,0.7
93,0.98
94,0.2
98,0.8
99,1.6
101,1.7
102,1.0
108,1.5
111,0.8
115,1.2
123,0.6
126,1.08
127,0.8
128,0.77
129,0.8
130,0.85
139,0.4
145,1.9
154,0.26
159,0.9
160,0.87
162,0.9
166,0.72
175,0.6
178,1.25
185,0.74
188,0.4
192,1.0
193,0.5
195,0.2
197,0.2
198,0.5
199,0.4
201,0.6
204,0.8
207,0.65
208,0.93
212,0.69
213,1.7
215,0.4
216,2.3
218,1.0
220,0.5
221,0.6
223,1.0
225,0.77
226,0.47
227,1.7
233,1.9
241,1.67
244,1.75
245,1.0
248,0.93
250,0.2
251,1.42
252,1.1
256,0.6
258,1.0
269,0.5
273,1.5
275,0.7
278,1.0
281,0.2
283,0.8
285,1.54
288,0.4
290,0.5
291,0.6
293,1.75
294,1.4
296,1.49
297,0.61
301,0.9
304,1.06
317,0.3
319,1.4
320,1.8
326,0.4
328,0.5
331,0.4
336,0.6
347,0.9
348,0.3
349,0.5
351,0.9
352,1.1
354,0.3
357,0.56
358,1.02
359,0.5
360,1.24
370,0.9
371,1.4
374,1.12
375,1.14
376,1.47
379,0.5
390,0.96
391,0.8
393,0.9
394,0.5
401,1.1
403,0.17
408,0.92
410,1.33
421,1.0
423,1.1
424,0.9
425,1.3
427,1.02
434,1.38
435,0.6
436,0.7
448,0.5
449,0.7
455,0.89
457,2.25
463,0.7
464,0.2
466,0.6
468,0.6
472,0.7
477,1.6
491,1.1
493,1.05
494,1.2
499,0.64
500,0.98
544,1.7
546,0.5
547,1.4
548,2.0
549,0.5
556,0.5
558,1.9
561,1.31
562,1.1
567,0.5
568,0.2
570,0.9
585,0.3
586,1.57
591,1.1
593,0.5
603,0.5
604,1.62
607,1.5
609,1.5
611,0.26
614,1.38
615,0.84
618,0.4
621,0.9
624,0.4
625,1.7
626,1.09
628,0.2
632,1.0
633,0.6
635,0.26
638,1.2
641,1.3
644,0.7
655,1.4
664,0.9
669,0.32
672,0.9
674,1.5
676,0.71
677,3.2
684,0.67
686,0.7
687,1.44
688,1.08
689,1.13
692,1.68
693,2.1
694,0.1
701,1.1
704,1.7
705,0.5
707,0.5
708,0.6
710,0.5
711,0.5
712,1.11
716,1.29
718,0.6
719,0.5
723,1.3
726,1.0
727,1.0
728,0.62
731,1.1
736,1.19
737,0.45
748,0.6
749,1.41
751,2.11
752,1.21
759,0.2
761,1.34
762,1.42
763,1.1
767,0.65
769,0.6
770,0.1
771,0.3
773,1.1
774,0.8
778,0.7
779,0.4
788,0.5
793,0.3
797,1.3
798,0.6
806,0.6
807,1.1
808,1.3
818,1.4
823,2.91
826,0.69
831,0.7
835,1.53
836,1.3
838,1.02
839,0.77
841,1.11
843,0.96
849,0.7
852,1.0
853,0.3
855,1.1
856,1.4
857,0.95
859,1.41
860,0.98
863,1.1
864,0.72
872,0.3
873,1.0
875,0.9
876,0.83
880,0.6
883,1.1
884,0.7
888,2.84
889,1.11
890,1.36
894,1.89
899,0.8
901,0.4
905,2.1
908,0.96
910,0.5
915,0.9
918,1.1
926,1.32
931,1.62
932,0.94
933,1.1
938,0.6
947,0.43
952,0.2
953,0.76
954,0.7
962,0.9
967,1.75
975,0.8
977,0.6
978,1.5
981,0.74
986,1.0
991,0.3
1002,1.65
1004,1.4
1007,1.4
1011,0.95
1013,0.97
1014,1.5
1017,0.7
1019,0.4
1020,1.77
1021,2.03
1026,1.71
1028,1.4
1044,1.24
1060,0.9
1068,1.23
1071,0.4
1075,1.8
1078,1.0
1089,1.27
1092,1.89
1095,1.32
1102,1.28
1110,1.2
1115,0.8
1118,0.58
1124,1.19
1125,1.3
1128,0.92
1129,1.8
1132,1.32
1135,0.59
1144,1.6
1152,1.34
1161,2.2
1167,0.6
1170,0.4
1176,1.2
1179,0.3
1180,1.0
1182,1.3
1183,1.02
1184,0.7
1187,0.74
1191,0.4
1196,0.8
1199,1.74
1201,0.71
1203,0.16
1206,0.74
1207,0.8
1210,1.14
1211,0.6
1213,0.34
1215,0.45
1217,1.7
1218,1.4
1219,1.26
1220,1.2
1222,2.6
1223,1.56
1224,0.13
1228,1.6
1230,0.8
1232,0.99
1233,1.1
1237,1.0
1245,1.8
1250,2.27
1253,0.6
1254,0.4
1255,1.64
1258,1.11
1262,0.54
1263,0.8
1264,1.2
1267,1.8
1271,0.9
1274,0.5
1275,1.4
1276,2.3
1279,2.5
1281,0.61
1287,1.41
1291,1.0
1296,0.5
1301,1.1
1307,1.8
1309,1.6
1320,1.11
1323,1.47
1324,0.81
1329,0.9
1335,1.7
1339,0.86
1340,0.7
1345,1.4
1348,3.39
1349,0.7
1350,1.5
1354,0.7
1361,0.7
1368,1.2
1369,1.2
1370,1.09
1373,1.2
1374,0.5
1375,0.3
1376,1.56
1377,0.43
1380,1.05
1385,2.3
1388,2.5
1393,0.9
1396,0.33
1397,1.7
1400,0.5
1405,1.24
1410,1.53
1413,0.9
1414,0.2
1416,1.39
1417,0.44
1419,0.97
1428,1.2
1430,1.08
1432,1.6
1436,0.9
1444,0.58
1450,1.92
1451,1.76
1452,1.0
1455,0.8
1457,1.08
1459,0.74
1460,0.6
1461,1.47
1465,0.88
1467,0.37
1468,0.37
1471,0.5
1472,1.1
1475,0.83
1477,0.19
1478,0.44
1481,0.52
1482,0.73
1483,0.46
1484,1.14
1485,1.5
1486,0.87
1487,0.8
1488,1.16
1489,2.5
1490,3.19
1491,0.44
1493,1.45
1495,0.63
1496,1.65
1505,1.18
1506,0.6
1508,1.2
1509,1.4
1512,0.2
1515,0.63
1516,1.3
1518,0.08
1526,0.86
1527,1.3
1540,0.8
1544,0.25
1546,1.65
1552,0.5
1555,0.83
1556,1.44
1558,1.8
1559,2.2
1561,1.0
1566,0.7
1572,1.12
1574,0.3
1576,1.1
1578,1.2
1581,0.4
1582,0.01
1587,0.8
1595,0.6
1598,0.3
1605,1.17
1619,1.0
1620,0.72
1622,0.5
1629,0.6
1630,1.2
1631,0.4
1632,0.6
1634,0.3
1637,0.3
1641,0.9
1645,1.71
1648,0.08
1649,1.0
1650,1.03
1652,1.38
1654,1.01
1656,0.5
1659,1.2
1664,1.8
1665,1.1
1666,0.9
1667,1.2
1671,0.38
1672,2.2
1675,0.7
1682,1.3
1683,1.1
1686,0.4
1690,0.9
1691,0.3
1693,1.5
1695,0.3
1699,1.11
1701,1.5
1703,1.0
1707,0.3
1708,1.4
1709,0.5
1710,0.3
1711,0.2
1719,0.9
1720,0.91
1724,0.8
1725,0.3
1731,1.7
1733,3.0
1737,1.1
1741,0.5
1744,1.49
1745,0.4
1760,0.88
1763,0.6
1766,0.23
1770,0.4
1773,0.8
1774,0.7
1775,1.2
1782,1.3
1787,1.34
1792,1.06
1795,0.8
1796,0.3
1797,1.07
1800,1.0
1812,0.9
1814,0.4
1816,0.7
1817,1.03
1819,2.01
1820,0.61
1824,1.1
1825,1.8
1828,0.8
1829,0.5
1832,0.5
1841,0.9
1842,0.3
1847,1.8
1850,1.1
1851,1.8
1852,1.3
1853,1.89
1854,1.06
1858,0.34
1860,1.05
1861,0.49
1866,0.9
1867,1.1
1869,1.0
1870,0.99
1872,0.3
1874,0.9
1876,0.78
1877,1.1
1878,1.3
1879,0.5
1880,0.4
1884,0.9
1889,0.31
1891,0.9
1892,1.5
