,mag
152,4.4
253,4.3
339,4.3
1085,4.9
1169,4.1
1208,5.1
1259,4.3
1384,4.5
1387,4.7
1438,4.7
1439,4.4
1930,4.4
2017,4.2
2084,4.2
2115,4.2
2163,4.1
2165,4.4
2201,4.2
2237,4.4
2445,4.4
2511,4.1
2540,4.9
2549,4.7
2592,4.3
2664,4.7
2673,4.5
2714,4.3
2861,4.5
2993,4.6
3006,4.4
3010,4.3
3113,4.8
3266,4.2
3283,4.3
3389,4.6
3630,4.3
3639,4.3
3893,4.0
4001,4.4
4061,4.7
4150,4.2
4157,4.6
4161,5.3
4279,4.6
4406,4.4
4407,4.6
4410,4.7
4414,4.5
4431,4.1
4548,5.0
4562,4.5
4581,4.5
4599,4.3
4672,4.6
4685,4.5
4865,5.1
4899,4.5
4950,4.6
5030,4.5
5281,4.7
5366,4.6
5448,4.3
5969,4.4
6182,4.5
6224,4.1
6240,4.1
6312,5.0
6338,4.4
6383,4.6
6390,4.5
6454,4.9
7027,4.6
7044,5.0
7146,4.6
7153,5.3
7239,4.5
7273,4.5
7514,4.5
7764,4.4
7779,4.7
7829,4.2
7868,4.3
8047,4.1
8072,4.6
8197,4.3
8215,4.4
8246,4.5
8255,4.7
8261,4.4
8380,5.5
8673,4.2
8757,4.0
8791,4.8
8864,4.5
9073,4.9
9147,4.9
9174,4.1
9256,4.6
9333,4.4
9423,4.4
9449,4.3
9575,4.7
9602,4.4
9726,4.4
9870,4.2
9872,4.3
9927,4.3
9975,4.5
10012,4.4
10153,4.2
10163,4.1
10204,4.2
10286,4.6
10434,4.3
10436,4.4
10509,4.4
10865,4.5
10961,4.7
11083,4.2
11125,4.5
11130,4.3
11148,4.5
11401,4.8
11782,4.6
11852,4.8
11891,4.5
11999,4.7
12046,4.8
12063,4.6
12187,4.3
12685,4.7
12737,4.5
12886,4.3
13260,4.6
13468,4.3
13691,4.6
13929,4.4
13950,4.6
14106,4.7
14430,4.4
14562,4.8
14653,4.5
14771,5.3
14842,4.4
14872,4.4
14876,4.2
14877,4.9
14879,4.7
14883,5.0
14884,4.7
14895,4.8
14898,4.7
14917,4.3
15013,4.3
15040,4.5
15194,4.5
15211,4.5
15236,4.7
15316,4.3
15386,4.3
15672,4.5
15730,4.4
15732,5.0
15867,5.2
15877,4.5
16135,4.3
16246,4.2
16301,4.4
16309,5.0
16377,4.1
16535,4.4
16538,5.3
16555,4.8
16600,4.2
16711,4.2
16822,4.7
16831,4.1
16997,4.5
17132,4.9
17411,4.1
17441,4.5
17621,4.1
17649,4.9
17727,4.2
17764,4.5
17773,4.6
17900,4.1
18030,4.3
18064,4.1
18078,4.1
18085,4.1
18137,4.4
18146,4.7
18321,4.1
18449,4.4
18591,4.8
18724,4.5
19010,4.4
19017,4.9
19067,4.6
19084,4.4
19119,4.3
19152,5.4
19369,4.4
19451,4.2
19546,4.3
19550,4.2
19921,4.8
19926,5.5
20032,4.1
20081,4.5
20087,4.0
20138,4.9
20824,4.4
20961,4.2
21069,4.4
21122,4.7
21155,4.6
21191,4.6
21210,4.6
21386,4.9
21582,4.4
21750,4.5
21757,4.4
21885,4.2
21903,4.1
22059,4.9
22077,4.0
22099,4.7
22122,4.5
22134,4.0
22316,4.4
22330,4.2
22346,4.5
22369,4.6
22384,4.3
22725,5.4
22774,5.0
22782,4.5
22795,4.3
22880,4.6
23055,4.7
23061,4.3
23195,4.8
23380,4.6
23571,4.9
23839,4.8
23906,6.3
24116,4.6
24161,4.7
24269,4.2
24278,4.0
24422,5.0
24741,4.7
24848,4.5
25092,4.9
25323,4.5
25387,4.2
25631,4.8
25979,4.5
26168,4.7
26453,4.4
26612,5.0
26728,4.6
26742,4.3
26795,4.6
26888,5.2
26972,6.5
27186,4.3
27197,4.2
27369,4.2
27471,4.6
27842,4.3
28074,4.5
28125,4.1
28367,4.3
28603,4.4
28750,4.6
28991,4.5
29369,4.6
29385,4.1
29602,4.1
29620,4.4
29936,4.1
29947,5.0
30372,4.8
30485,4.3
30593,4.7
30602,4.2
30623,4.4
30795,4.6
30940,4.9
30943,4.4
30954,4.9
30990,4.3
31109,4.4
31155,4.4
31584,4.5
32017,4.3
32024,4.0
32040,4.7
32065,4.7
32171,4.6
32173,5.2
32181,4.1
32421,4.9
32429,4.6
32443,4.6
32493,4.4
32518,4.4
32531,4.3
32728,4.0
32756,4.7
32927,4.3
32951,4.3
33006,4.2
33333,4.3
33474,4.7
33586,4.8
33827,4.4
33857,4.6
33952,4.3
34180,4.5
34194,4.6
34481,4.4
34640,4.7
34641,4.4
34657,4.7
34791,4.3
34872,4.4
34921,4.4
35079,4.9
35102,4.4
35291,4.7
35453,4.3
35454,4.7
35952,4.0
36156,5.2
36403,4.1
36666,4.6
36969,5.5
37040,4.1
37316,4.3
37382,4.7
37430,4.4
37508,4.2
37630,4.6
37952,4.5
38169,4.0
38186,4.4
38232,4.5
38278,4.4
38364,4.4
38591,4.2
38676,4.7
38747,4.5
38906,4.4
39010,4.2
39026,5.3
39206,4.2
39251,4.4
39315,4.5
39440,4.2
39442,4.5
