,mag,effectif,Pays_Cotier
0.0,1.1,,
2.0,1.3,,
3.0,0.8,,
4.0,1.34,,
5.0,1.51,,
6.0,1.17,,
7.0,1.5,,
8.0,2.1,,
9.0,1.6,,
10.0,4.2,,
11.0,1.1,,
12.0,0.9,,
13.0,0.1,,
14.0,4.3,,
16.0,4.4,,
17.0,1.78,,
18.0,1.18,,
19.0,1.1,,
20.0,1.2,,
22.0,0.94,,
23.0,0.5,,
24.0,3.4,,
25.0,1.4,,
26.0,4.2,,
27.0,0.96,,
28.0,1.02,,
29.0,1.2,,
30.0,0.8,,
31.0,4.3,,
32.0,1.4,,
33.0,0.4,,
34.0,2.2,,
35.0,2.2,,
36.0,0.7,,
37.0,4.0,,
38.0,4.7,,
39.0,2.6,,
40.0,1.3,,
41.0,4.5,,
42.0,0.7,,
43.0,0.4,,
44.0,0.59,,
45.0,0.8,,
46.0,2.0,,
47.0,1.67,,
48.0,1.5,,
49.0,0.6,,
50.0,1.04,,
51.0,0.8,,
52.0,0.8,,
53.0,0.1,,
54.0,0.7,,
55.0,1.7,,
56.0,1.0,,
57.0,0.64,,
58.0,1.0,,
59.0,0.5,,
61.0,1.7,,
63.0,1.5,,
64.0,4.5,,
65.0,1.3,,
67.0,1.2,,
68.0,0.5,,
69.0,1.5,,
70.0,4.3,,
71.0,0.86,,
72.0,1.57,,
73.0,1.7,,
74.0,4.5,,
75.0,2.4,,
76.0,1.1,,
77.0,4.8,,
78.0,1.0,,
79.0,1.0,,
80.0,4.4,,
81.0,2.4,,
82.0,2.3,,
84.0,0.84,,
85.0,1.0,,
86.0,1.5,,
88.0,0.5,,
89.0,0.7,,
90.0,2.1,,
91.0,2.3,,
92.0,1.3,,
93.0,0.98,,
94.0,0.2,,
95.0,2.7,,
96.0,1.3,,
97.0,2.5,,
98.0,0.8,,
99.0,1.6,,
100.0,3.1,,
101.0,1.7,,
102.0,1.0,,
103.0,1.6,,
106.0,1.9,,
107.0,1.2,,
108.0,1.5,,
109.0,3.0,,
110.0,5.1,,
111.0,0.8,,
112.0,2.1,,
113.0,2.0,,
114.0,1.3,,
115.0,1.2,,
116.0,4.1,,
118.0,0.6,,
119.0,1.3,,
120.0,1.3,,
122.0,1.0,,
123.0,0.6,,
124.0,1.3,,
125.0,1.0,,
126.0,1.08,,
127.0,0.8,,
128.0,0.77,,
129.0,0.8,,
130.0,0.85,,
131.0,1.6,,
133.0,4.4,,
134.0,4.1,,
135.0,4.2,,
136.0,2.6,,
137.0,2.08,,
138.0,0.8,,
139.0,0.4,,
140.0,1.6,,
141.0,1.1,,
142.0,4.4,,
143.0,4.3,,
144.0,1.1,,
145.0,1.9,,
147.0,0.9,,
148.0,1.6,,
150.0,4.5,,
151.0,2.6,,
152.0,4.4,,
153.0,1.9,,
154.0,0.26,,
155.0,1.7,,
156.0,1.3,,
158.0,1.5,,
159.0,0.9,,
160.0,0.87,,
162.0,0.9,,
163.0,1.0,,
164.0,2.6,,
165.0,2.9,,
166.0,0.72,,
168.0,4.5,,
169.0,3.8,,
170.0,4.6,,
171.0,1.1,,
174.0,2.5,,
175.0,0.6,,
177.0,4.5,,
178.0,1.25,,
179.0,1.4,,
180.0,2.01,,
181.0,4.1,,
183.0,4.2,,
184.0,2.2,,
185.0,0.74,,
186.0,1.6,,
187.0,0.7,,
188.0,0.4,,
189.0,1.3,,
191.0,0.4,,
192.0,1.0,,
193.0,0.5,,
194.0,2.0,,
195.0,0.2,,
196.0,1.2,,
197.0,0.2,,
198.0,0.5,,
199.0,0.4,,
200.0,1.3,,
201.0,0.6,,
202.0,2.5,,
203.0,1.3,,
204.0,0.8,,
205.0,4.2,,
206.0,1.2,,
207.0,0.65,,
208.0,0.93,,
209.0,1.5,,
211.0,1.3,,
212.0,0.69,,
213.0,1.7,,
214.0,1.8,,
215.0,0.4,,
216.0,2.3,,
218.0,1.0,,
219.0,4.4,,
220.0,0.5,,
221.0,0.6,,
222.0,4.4,,
223.0,1.0,,
224.0,1.1,,
225.0,0.77,,
226.0,0.47,,
227.0,1.7,,
228.0,2.0,,
229.0,1.3,,
230.0,2.1,,
231.0,4.5,,
233.0,1.9,,
234.0,4.2,,
235.0,1.6,,
236.0,4.5,,
237.0,1.2,,
239.0,1.0,,
240.0,1.6,,
241.0,1.67,,
242.0,4.8,,
243.0,0.7,,
244.0,1.75,,
245.0,1.0,,
246.0,0.7,,
247.0,1.3,,
248.0,0.93,,
249.0,2.8,,
250.0,0.2,,
251.0,1.42,,
252.0,1.1,,
253.0,4.3,,
254.0,1.1,,
255.0,1.1,,
256.0,0.6,,
257.0,2.2,,
258.0,1.0,,
259.0,1.3,,
262.0,1.2,,
269.0,0.5,,
270.0,2.1,,
271.0,0.5,,
272.0,1.1,,
273.0,1.5,,
274.0,1.2,,
275.0,0.7,,
276.0,1.4,,
278.0,1.0,,
280.0,1.6,,
281.0,0.2,,
282.0,0.8,,
283.0,0.8,,
284.0,1.9,,
285.0,1.54,,
286.0,1.6,,
287.0,1.8,,
288.0,0.4,,
289.0,2.2,,
290.0,0.5,,
291.0,0.6,,
292.0,0.9,,
293.0,1.75,,
294.0,1.4,,
296.0,1.49,,
297.0,0.61,,
298.0,1.5,,
299.0,1.1,,
300.0,0.8,,
301.0,0.9,,
303.0,1.7,,
304.0,1.06,,
305.0,1.0,,
306.0,1.1,,
307.0,1.3,,
308.0,1.0,,
309.0,1.7,,
311.0,1.2,,
312.0,1.7,,
314.0,1.1,,
315.0,4.2,,
316.0,1.4,,
317.0,0.3,,
319.0,1.4,,
320.0,1.8,,
321.0,2.0,,
323.0,1.1,,
325.0,2.8,,
326.0,0.4,,
327.0,4.5,,
328.0,0.5,,
329.0,4.3,,
330.0,2.9,,
331.0,0.4,,
332.0,1.6,,
333.0,1.9,,
334.0,1.7,,
335.0,1.2,,
336.0,0.6,,
339.0,4.3,,
340.0,4.0,,
341.0,0.4,,
342.0,2.4,,
343.0,0.1,,
344.0,4.0,,
346.0,4.1,,
347.0,0.9,,
348.0,0.3,,
349.0,0.5,,
350.0,0.7,,
351.0,0.9,,
352.0,1.1,,
353.0,4.3,,
354.0,0.3,,
355.0,2.1,,
357.0,0.56,,
358.0,1.02,,
359.0,0.5,,
360.0,1.24,,
363.0,4.1,,
365.0,4.4,,
366.0,4.4,,
367.0,2.0,,
369.0,4.5,,
370.0,0.9,,
371.0,1.4,,
372.0,4.8,,
374.0,1.12,,
375.0,1.14,,
376.0,1.47,,
378.0,1.2,,
379.0,0.5,,
380.0,4.5,,
381.0,2.4,,
382.0,3.8,,
383.0,1.4,,
384.0,4.7,,
385.0,4.4,,
386.0,1.4,,
389.0,2.0,,
390.0,0.96,,
391.0,0.8,,
393.0,0.9,,
394.0,0.5,,
395.0,1.0,,
396.0,1.7,,
397.0,2.0,,
399.0,1.4,,
400.0,1.3,,
401.0,1.1,,
402.0,1.9,,
403.0,0.17,,
405.0,1.2,,
406.0,2.4,,
407.0,1.85,,
408.0,0.92,,
409.0,0.1,,
410.0,1.33,,
411.0,2.7,,
412.0,1.1,,
413.0,2.1,,
414.0,1.8,,
415.0,2.9,,
416.0,2.0,,
417.0,1.7,,
418.0,4.7,,
419.0,1.5,,
421.0,1.0,,
422.0,2.1,,
423.0,1.1,,
424.0,0.9,,
425.0,1.3,,
426.0,1.2,,
427.0,1.02,,
429.0,0.1,,
430.0,4.6,,
431.0,1.5,,
434.0,1.38,,
435.0,0.6,,
436.0,0.7,,
439.0,4.9,,
443.0,4.1,,
447.0,4.3,,
448.0,0.5,,
449.0,0.7,,
450.0,2.2,,
452.0,4.1,,
453.0,4.6,,
455.0,0.89,,
456.0,1.9,,
457.0,2.25,,
462.0,4.1,,
463.0,0.7,,
464.0,0.2,,
466.0,0.6,,
467.0,1.7,,
468.0,0.6,,
470.0,2.6,,
471.0,3.1,,
472.0,0.7,,
473.0,1.5,,
477.0,1.6,,
487.0,1.0,,
489.0,4.7,,
491.0,1.1,,
492.0,4.3,,
493.0,1.05,,
494.0,1.2,,
496.0,1.6,,
499.0,0.64,,
500.0,0.98,,
503.0,3.0,,
510.0,1.1,,
520.0,1.4,,
521.0,1.4,,
523.0,4.5,,
531.0,3.0,,
540.0,1.6,,
541.0,1.9,,
542.0,0.7,,
544.0,1.7,,
546.0,0.5,,
547.0,1.4,,
548.0,2.0,,
549.0,0.5,,
551.0,4.5,,
554.0,1.3,,
556.0,0.5,,
558.0,1.9,,
561.0,1.31,,
562.0,1.1,,
563.0,1.1,,
564.0,1.9,,
565.0,4.4,,
567.0,0.5,,
568.0,0.2,,
570.0,0.9,,
573.0,3.1,,
574.0,1.6,,
577.0,1.3,,
581.0,1.3,,
582.0,1.2,,
584.0,1.1,,
585.0,0.3,,
586.0,1.57,,
591.0,1.1,,
592.0,0.9,,
593.0,0.5,,
595.0,1.6,,
596.0,3.3,,
601.0,1.3,,
603.0,0.5,,
604.0,1.62,,
607.0,1.5,,
609.0,1.5,,
611.0,0.26,,
613.0,1.7,,
614.0,1.38,,
615.0,0.84,,
618.0,0.4,,
620.0,4.5,,
621.0,0.9,,
623.0,1.8,,
624.0,0.4,,
625.0,1.7,,
626.0,1.09,,
628.0,0.2,,
629.0,1.3,,
631.0,1.9,,
632.0,1.0,,
633.0,0.6,,
634.0,1.6,,
635.0,0.26,,
636.0,1.9,,
637.0,2.3,,
638.0,1.2,,
639.0,4.4,,
640.0,1.5,,
641.0,1.3,,
642.0,1.4,,
643.0,4.3,,
644.0,0.7,,
646.0,4.6,,
650.0,0.5,,
651.0,1.8,,
652.0,1.3,,
655.0,1.4,,
656.0,2.5,,
658.0,4.1,,
659.0,0.9,,
660.0,4.3,,
664.0,0.9,,
665.0,1.6,,
666.0,4.2,,
668.0,1.7,,
669.0,0.32,,
672.0,0.9,,
673.0,1.4,,
674.0,1.5,,
675.0,1.2,,
676.0,0.71,,
677.0,3.2,,
678.0,4.6,,
681.0,2.2,,
682.0,1.0,,
683.0,1.4,,
684.0,0.67,,
685.0,1.8,,
686.0,0.7,,
687.0,1.44,,
688.0,1.08,,
689.0,1.13,,
691.0,2.8,,
692.0,1.68,,
693.0,2.1,,
694.0,0.1,,
695.0,1.3,,
696.0,1.9,,
697.0,2.9,,
698.0,1.9,,
699.0,4.7,,
700.0,4.5,,
701.0,1.1,,
702.0,1.1,,
703.0,2.4,,
704.0,1.7,,
705.0,0.5,,
706.0,1.5,,
707.0,0.5,,
708.0,0.6,,
710.0,0.5,,
711.0,0.5,,
712.0,1.11,,
713.0,1.6,,
714.0,1.4,,
716.0,1.29,,
718.0,0.6,,
719.0,0.5,,
720.0,1.1,,
721.0,2.8,,
722.0,0.7,,
723.0,1.3,,
725.0,1.7,,
726.0,1.0,,
727.0,1.0,,
728.0,0.62,,
729.0,1.7,,
731.0,1.1,,
732.0,0.8,,
733.0,1.3,,
734.0,2.6,,
735.0,2.8,,
736.0,1.19,,
737.0,0.45,,
739.0,4.1,,
740.0,4.5,,
744.0,1.3,,
746.0,2.0,,
747.0,1.74,,
748.0,0.6,,
749.0,1.41,,
