,mag
0,1.1
2,1.3
3,0.8
4,1.34
5,1.51
6,1.17
7,1.5
8,2.1
9,1.6
11,1.1
12,0.9
13,0.1
17,1.78
18,1.18
19,1.1
20,1.2
22,0.94
23,0.5
24,3.4
25,1.4
27,0.96
28,1.02
29,1.2
30,0.8
32,1.4
33,0.4
34,2.2
35,2.2
36,0.7
39,2.6
40,1.3
42,0.7
43,0.4
44,0.59
45,0.8
46,2.0
47,1.67
48,1.5
49,0.6
50,1.04
51,0.8
52,0.8
53,0.1
54,0.7
55,1.7
56,1.0
57,0.64
58,1.0
59,0.5
61,1.7
63,1.5
65,1.3
67,1.2
68,0.5
69,1.5
71,0.86
72,1.57
73,1.7
75,2.4
76,1.1
78,1.0
79,1.0
81,2.4
82,2.3
84,0.84
85,1.0
86,1.5
88,0.5
89,0.7
90,2.1
91,2.3
92,1.3
93,0.98
94,0.2
95,2.7
96,1.3
97,2.5
98,0.8
99,1.6
100,3.1
101,1.7
102,1.0
103,1.6
106,1.9
107,1.2
108,1.5
109,3.0
111,0.8
112,2.1
113,2.0
114,1.3
115,1.2
118,0.6
119,1.3
120,1.3
122,1.0
123,0.6
124,1.3
125,1.0
126,1.08
127,0.8
128,0.77
129,0.8
130,0.85
131,1.6
136,2.6
137,2.08
138,0.8
139,0.4
140,1.6
141,1.1
144,1.1
145,1.9
147,0.9
148,1.6
151,2.6
153,1.9
154,0.26
155,1.7
156,1.3
158,1.5
159,0.9
160,0.87
162,0.9
163,1.0
164,2.6
165,2.9
166,0.72
171,1.1
174,2.5
175,0.6
178,1.25
179,1.4
180,2.01
184,2.2
185,0.74
186,1.6
187,0.7
188,0.4
189,1.3
191,0.4
192,1.0
193,0.5
194,2.0
195,0.2
196,1.2
197,0.2
198,0.5
199,0.4
200,1.3
201,0.6
202,2.5
203,1.3
204,0.8
206,1.2
207,0.65
208,0.93
209,1.5
211,1.3
212,0.69
213,1.7
214,1.8
215,0.4
216,2.3
218,1.0
220,0.5
221,0.6
223,1.0
224,1.1
225,0.77
226,0.47
227,1.7
228,2.0
229,1.3
230,2.1
233,1.9
235,1.6
237,1.2
239,1.0
240,1.6
241,1.67
243,0.7
244,1.75
245,1.0
246,0.7
247,1.3
248,0.93
249,2.8
250,0.2
251,1.42
252,1.1
254,1.1
255,1.1
256,0.6
257,2.2
258,1.0
259,1.3
262,1.2
269,0.5
270,2.1
271,0.5
272,1.1
273,1.5
274,1.2
275,0.7
276,1.4
278,1.0
280,1.6
281,0.2
282,0.8
283,0.8
284,1.9
285,1.54
286,1.6
287,1.8
288,0.4
289,2.2
290,0.5
291,0.6
292,0.9
293,1.75
294,1.4
296,1.49
297,0.61
298,1.5
299,1.1
300,0.8
301,0.9
303,1.7
304,1.06
305,1.0
306,1.1
307,1.3
308,1.0
309,1.7
311,1.2
312,1.7
314,1.1
316,1.4
317,0.3
319,1.4
320,1.8
321,2.0
323,1.1
325,2.8
326,0.4
328,0.5
330,2.9
331,0.4
332,1.6
333,1.9
334,1.7
335,1.2
336,0.6
341,0.4
342,2.4
343,0.1
347,0.9
348,0.3
349,0.5
350,0.7
351,0.9
352,1.1
354,0.3
355,2.1
357,0.56
358,1.02
359,0.5
360,1.24
367,2.0
370,0.9
371,1.4
374,1.12
375,1.14
376,1.47
378,1.2
379,0.5
381,2.4
383,1.4
386,1.4
389,2.0
390,0.96
391,0.8
393,0.9
394,0.5
395,1.0
396,1.7
397,2.0
399,1.4
400,1.3
401,1.1
402,1.9
403,0.17
405,1.2
406,2.4
407,1.85
408,0.92
409,0.1
410,1.33
411,2.7
412,1.1
413,2.1
414,1.8
415,2.9
416,2.0
417,1.7
419,1.5
