mag,effectif,mag,Pays_Cotier
3.51,3,3.51,oui
3.52,4,3.52,oui
3.53,2,3.53,oui
3.54,4,3.54,oui
3.55,3,3.55,oui
3.56,2,3.56,oui
3.57,2,3.57,oui
3.58,3,3.58,oui
3.59,4,3.59,oui
3.6,114,3.6,oui
3.61,2,3.61,oui
3.63,4,3.63,oui
3.64,5,3.64,oui
3.65,3,3.65,oui
3.66,1,3.66,oui
3.67,1,3.67,oui
3.68,2,3.68,oui
3.69,1,3.69,oui
3.7,126,3.7,oui
3.71,1,3.71,oui
3.73,1,3.73,oui
3.74,2,3.74,oui
3.75,1,3.75,oui
3.78,2,3.78,oui
3.8,149,3.8,oui
3.81,2,3.81,oui
3.82,2,3.82,oui
3.84,2,3.84,oui
3.85,2,3.85,oui
3.88,2,3.88,oui
3.9,209,3.9,oui
3.91,1,3.91,oui
3.92,2,3.92,oui
3.93,1,3.93,oui
3.99,1,3.99,oui
4.0,1040,4.0,oui
4.01,1,4.01,oui
4.02,1,4.02,oui
4.03,1,4.03,oui
4.04,2,4.04,oui
4.05,1,4.05,oui
4.08,1,4.08,oui
4.1,1480,4.1,oui
4.11,2,4.11,oui
4.14,2,4.14,oui
4.16,2,4.16,oui
4.19,1,4.19,oui
4.2,1750,4.2,oui
4.21,1,4.21,oui
4.22,1,4.22,oui
4.23,1,4.23,oui
4.24,2,4.24,oui
4.29,1,4.29,oui
4.3,1872,4.3,oui
4.38,1,4.38,oui
4.39,2,4.39,oui
4.4,1898,4.4,oui
4.43,2,4.43,oui
4.5,1757,4.5,oui
4.58,1,4.58,oui
4.59,2,4.59,oui
4.6,1521,4.6,oui
4.68,1,4.68,oui
4.7,1036,4.7,oui
4.72,1,4.72,oui
4.8,668,4.8,oui
4.9,432,4.9,oui
5.0,320,5.0,oui
5.1,257,5.1,oui
5.2,192,5.2,oui
5.3,153,5.3,oui
5.4,96,5.4,oui
5.5,64,5.5,oui
5.6,72,5.6,oui
5.7,45,5.7,oui
5.8,45,5.8,oui
5.9,23,5.9,oui
6.0,25,6.0,oui
6.1,21,6.1,oui
6.2,19,6.2,oui
6.3,14,6.3,oui
6.4,7,6.4,oui
6.5,12,6.5,oui
6.6,9,6.6,oui
6.7,5,6.7,oui
6.8,3,6.8,oui
6.9,7,6.9,oui
7.1,3,7.1,oui
7.2,1,7.2,oui
7.3,1,7.3,oui
7.4,1,7.4,oui
7.5,1,7.5,oui
7.6,1,7.6,oui
7.7,1,7.7,oui
7.9,1,7.9,oui
8.2,1,8.2,oui
