mag,effectif,coastal
0.0,54,0
0.01,31,0
0.02,22,0
0.03,26,0
0.04,29,0
0.05,29,0
0.06,23,0
0.07,30,0
0.08,27,0
0.09,29,0
0.1,46,0
0.11,28,0
0.12,25,0
0.13,22,0
0.14,35,0
0.15,20,0
0.16,23,0
0.17,25,0
0.18,23,0
0.19,23,0
0.2,62,0
0.21,32,0
0.22,17,0
0.23,27,0
0.24,30,0
0.25,29,0
0.26,34,0
0.27,23,0
0.28,27,0
0.29,22,0
0.3,81,0
0.31,24,0
0.32,23,0
0.33,14,0
0.34,27,0
0.35,37,0
0.36,22,0
0.37,25,0
0.38,27,0
0.39,19,0
0.4,85,0
0.41,21,0
0.42,29,0
0.43,22,0
0.44,24,0
0.45,28,0
0.46,30,0
0.47,33,0
0.48,16,0
0.49,24,0
0.5,94,0
0.51,41,0
0.52,12,0
0.53,24,0
0.54,22,0
0.55,21,0
0.56,22,0
0.57,32,0
0.58,20,0
0.59,21,0
0.6,131,0
0.61,28,0
0.62,19,0
0.63,27,0
0.64,20,0
0.65,27,0
0.66,26,0
0.67,20,0
0.68,24,0
0.69,20,0
0.7,127,0
0.71,25,0
0.72,23,0
0.73,29,0
0.74,22,0
0.75,22,0
0.76,16,0
0.77,21,0
0.78,27,0
0.79,17,0
0.8,167,0
0.81,21,0
0.82,22,0
0.83,21,0
0.84,16,0
0.85,24,0
0.86,25,0
0.87,26,0
0.88,17,0
0.89,25,0
0.9,189,0
0.91,21,0
0.92,10,0
0.93,19,0
0.94,20,0
0.95,24,0
0.96,23,0
0.97,19,0
0.98,23,0
0.99,22,0
1.0,333,0
1.01,20,0
1.02,24,0
1.03,22,0
1.04,16,0
1.05,19,0
1.06,14,0
1.07,27,0
1.08,18,0
1.09,20,0
1.1,357,0
1.11,14,0
1.12,24,0
1.13,19,0
1.14,15,0
1.15,16,0
1.16,23,0
1.17,13,0
1.18,15,0
1.19,16,0
1.2,351,0
1.21,23,0
1.22,8,0
1.23,13,0
1.24,23,0
1.25,21,0
1.26,11,0
1.27,18,0
1.28,13,0
1.29,12,0
1.3,311,0
1.31,6,0
1.32,19,0
1.33,15,0
1.34,13,0
1.35,12,0
1.36,15,0
1.37,11,0
1.38,15,0
1.39,15,0
1.4,319,0
1.41,13,0
1.42,17,0
1.43,18,0
1.44,11,0
1.45,12,0
1.46,12,0
1.47,12,0
1.48,10,0
1.49,13,0
1.5,289,0
1.51,29,0
1.52,20,0
1.53,23,0
1.54,20,0
1.55,24,0
1.56,27,0
1.57,29,0
1.58,21,0
1.59,25,0
1.6,279,0
1.61,29,0
1.62,32,0
1.63,23,0
1.64,21,0
1.65,20,0
1.66,24,0
1.67,23,0
1.68,26,0
1.69,21,0
1.7,243,0
1.71,29,0
1.72,20,0
1.73,26,0
1.74,11,0
1.75,25,0
1.76,12,0
1.77,18,0
1.78,20,0
1.79,15,0
1.8,238,0
1.81,12,0
1.82,17,0
1.83,15,0
1.84,18,0
1.85,13,0
1.86,14,0
1.87,17,0
1.88,20,0
1.89,17,0
1.9,204,0
1.91,5,0
1.92,12,0
1.93,14,0
1.94,9,0
1.95,5,0
1.96,9,0
1.97,17,0
1.98,8,0
1.99,13,0
2.0,183,0
2.01,16,0
2.02,5,0
2.03,3,0
2.04,11,0
2.05,6,0
2.06,12,0
2.07,10,0
2.08,13,0
2.09,10,0
2.1,167,0
2.11,17,0
2.12,7,0
2.13,7,0
2.14,14,0
2.15,8,0
2.16,6,0
2.17,7,0
2.18,10,0
2.19,6,0
2.2,151,0
2.21,9,0
2.22,8,0
2.23,5,0
2.24,8,0
2.25,8,0
2.26,6,0
2.27,9,0
2.28,5,0
2.29,3,0
2.3,140,0
2.31,6,0
2.32,5,0
2.33,4,0
2.34,2,0
2.35,7,0
2.36,8,0
2.37,5,0
2.38,5,0
2.39,2,0
2.4,146,0
2.41,4,0
2.42,2,0
2.43,7,0
2.44,1,0
2.45,2,0
2.46,5,0
2.47,3,0
2.48,3,0
2.49,2,0
2.5,453,0
2.51,8,0
2.52,6,0
2.54,3,0
2.55,4,0
2.56,2,0
2.57,2,0
2.58,1,0
2.59,4,0
2.6,377,0
2.61,1,0
2.62,2,0
2.63,1,0
2.64,4,0
2.65,1,0
2.66,1,0
2.67,1,0
2.68,1,0
2.7,332,0
2.71,3,0
2.73,2,0
2.74,4,0
2.75,2,0
2.76,1,0
2.77,1,0
2.78,1,0
2.8,267,0
2.81,4,0
2.83,1,0
2.86,1,0
2.87,2,0
2.88,2,0
2.9,192,0
2.95,2,0
2.96,1,0
2.99,2,0
3.0,201,0
3.06,1,0
3.1,149,0
3.12,1,0
3.14,2,0
3.15,2,0
3.17,2,0
3.2,138,0
3.22,2,0
3.25,1,0
3.27,1,0
3.29,1,0
3.3,126,0
3.34,1,0
3.36,1,0
3.4,97,0
3.5,75,0
3.58,1,0
3.6,42,0
3.63,1,0
3.66,1,0
3.7,31,0
3.8,21,0
3.82,1,0
3.84,1,0
3.86,1,0
3.9,16,0
3.96,1,0
4.0,66,0
4.1,77,0
4.2,94,0
4.3,111,0
4.4,117,0
4.5,148,0
4.6,151,0
4.7,122,0
4.8,87,0
4.9,52,0
5.0,31,0
5.1,30,0
5.2,22,0
5.3,22,0
5.4,21,0
5.5,12,0
5.6,13,0
5.7,5,0
5.8,6,0
5.9,6,0
6.0,4,0
6.1,1,0
6.2,1,0
6.3,1,0
6.5,1,0
6.6,1,0
7.0,1,0
